time,area_h1,area_h2,area_h3,area_h4,area_h5,area_h6,area_h7
1375000,79054.39088116,83642.316085957,59351.725260534,67687.928431028,50311.725219922,12222.27695074,297729.63717065
1381250,78812.374326694,83649.290344623,59455.543139371,67831.701243847,50436.556019857,12170.929237658,297643.60568794
1387500,78571.13207577,83648.640586563,59564.637385834,67974.046893493,50562.185676341,12112.573535775,297566.78384621
1393750,78330.766732178,83647.624767614,59672.182280244,68114.647036907,50688.343968412,12060.709579691,297485.72563494
1400000,78091.348434382,83652.565848757,59772.175042356,68253.21837399,50814.824411666,12010.734895109,297405.13299373
1406250,77852.906269049,83659.247872734,59868.983648375,68389.529525581,50941.496703295,11954.958912521,297332.87706844
1412500,77615.421667927,83660.188837763,59969.720950437,68523.411058195,51068.310771524,11911.722140425,297251.22457372
1418750,77378.824436881,83655.755929672,60074.327079231,68654.757977988,51195.293909553,11856.810293564,297184.2303731
1425000,77142.992055732,83656.521126588,60172.984524836,68783.523655778,51322.545091873,11813.917617235,297107.51592795
1431250,76907.752714774,83664.099958599,60264.261749876,68909.708843223,51450.226792376,11766.833069281,297037.11687186
1437500,76672.892248424,83673.863977094,60352.206198392,69033.349745643,51578.554655113,11720.08992788,296969.04324744
1443750,76438.164652405,83680.155339755,60442.615705039,69154.508603524,51707.781805866,11680.291041092,296896.48285231
1450000,76203.305582751,83678.769730172,60540.518302838,69273.268989217,51838.175666848,11632.707924351,296833.25380381
1456250,75968.047440062,83674.709689812,60641.512514273,69389.732680614,51969.986506577,11594.714867627,296761.29630102
1462500,75732.134239953,83676.922215999,60736.37804623,69504.018400583,52103.411154063,11553.867740827,296693.26820233
1468750,75495.334912742,83685.877479672,60824.108366188,69616.258915736,52238.560403609,11512.6339713,296627.22595074
1475000,75257.454387232,83698.32009193,60907.896425508,69726.597340718,52375.442052557,11479.698691911,296554.59101013
1481250,75018.342380094,83711.498069986,60990.717595872,69835.183098906,52513.967099253,11436.024122881,296494.267633
1487500,74777.900186417,83722.996987337,61074.8883398,69942.166990228,52653.97824581,11407.006005536,296421.06324486
1493750,74536.085829404,83730.273384986,61162.821863031,70047.697025614,52795.288026646,11367.954973468,296359.87889684
1500000,74292.9177503,83731.608835597,61256.425274911,70151.912969477,52937.715044754,11337.175026602,296292.24509835
1506250,74048.476873672,83730.807769668,61352.145064818,70254.941140505,53081.109581475,11306.791371054,296225.7281988
1512500,73802.906507941,83734.610062246,61443.311027759,70356.889446755,53225.366673927,11272.636998978,296164.27928238
1518750,73556.409439645,83744.401409493,61528.189396914,70457.841758543,53370.426773228,11249.243510207,296093.48771196
1525000,73309.241696786,83758.160200653,61608.283516992,70557.854153864,53516.266938768,11215.522185802,296034.67130712
1531250,73061.702928981,83774.095206124,61685.134993505,70656.950617229,53662.888351261,11194.595181217,295964.63272167
1537500,72814.123791745,83791.303389564,61759.68516531,70755.12200185,53810.305048555,11167.669881178,295901.79072179
1543750,72566.851061234,83809.192488451,61832.765445874,70852.326875552,53958.534589248,11145.584766558,295834.74477307
1550000,72320.231562188,83826.807478171,61905.542249513,70948.49536226,54107.585614068,11126.733231638,295764.60450215
1556250,72074.59597375,83842.517432681,61979.582822638,71043.535645883,54257.437529229,11103.561112245,295698.76948356
1562500,71830.243651977,83854.106017295,62056.890991538,71137.341058802,54408.013131082,11090.753860863,295622.65128843
1568750,71587.429433927,83859.35335264,62139.562989783,71229.799030795,54559.155037699,11070.233880036,295554.46627511
1575000,71346.353183564,83858.710250032,62227.070237157,71320.798653443,54710.62237933,11059.955253873,295476.49004259
1581250,71107.152519096,83857.411165699,62313.83186657,71410.238555422,54862.118242817,11046.897429242,295402.35022114
1587500,70869.898920812,83860.128062114,62394.820654696,71498.032611492,55013.340577162,11036.862412923,295326.91676079
1593750,70634.597246623,83867.771449811,62469.390126126,71584.114326698,55164.037395609,11032.013392253,295248.07606287
1600000,70401.188481945,83879.5879204,62538.945589362,71668.439466563,55314.048765588,11022.53247612,295175.25730001
1606250,70169.555127373,83894.619066646,62604.88595117,71750.9867411,55463.328756978,11024.469172411,295092.15518431
1612500,69939.528402332,83911.922928626,62668.307535559,71831.758182492,55611.947618153,11017.519451979,295019.01588085
1618750,69710.896596356,83930.457089904,62730.064782165,71910.77739222,55760.076385216,11024.235278395,294933.49247573
1625000,69483.414323066,83949.068824543,62790.912337402,71988.08823355,55907.959591496,11023.479638897,294857.07705103
